subject,target_distance,condition,perc_dist,sd_perc_dist,sem_perc_dist,logperc_dist,logperc_dist_sem
S005,3,Closed headphones,1.125,0.9464847243000456,0.4732423621500228,0.05115252244738129,-0.3249163865619815
S005,3,Individualized HRTF,2.25,0.5,0.25,0.3521825181113625,-0.6020599913279624
S005,3,Real speakers,2,0.408248290463863,0.2041241452319315,0.3010299956639812,-0.690105620855803
S005,3,Non-individualized HRTF,2.125,0.25,0.125,0.32735893438633035,-0.9030899869919435
S005,4,Incongruous room,1.525,0.9535023160258534,0.4767511580129267,0.1832698436828046,-0.3217082433936227
S005,4,Closed headphones,0.575,0.15000000000000002,0.07500000000000001,-0.24033215531036956,-1.1249387366083
S005,4,Individualized HRTF,2.25,0.5,0.25,0.3521825181113625,-0.6020599913279624
S005,4,Real speakers,2.075,0.1499999999999999,0.07499999999999996,0.31701810104811157,-1.1249387366083001
S005,4,Non-individualized HRTF,1.875,0.25,0.125,0.27300127206373764,-0.9030899869919435
S005,5,Incongruous room,2.375,1.7576025337563288,0.8788012668781644,0.3756636139608854,-0.05610932567301176
S005,5,Closed headphones,0.5,0,0,-0.3010299956639812,-Inf
S005,5,Individualized HRTF,2.5,0.5773502691896257,0.28867513459481287,0.3979400086720376,-0.5395906230238124
S005,5,Real speakers,2.125,0.25,0.125,0.32735893438633035,-0.9030899869919435
S005,5,Non-individualized HRTF,1.875,0.25,0.125,0.27300127206373764,-0.9030899869919435
S005,6,Incongruous room,1.6,0.4546060565661952,0.2273030282830976,0.2041199826559248,-0.6433947782746855
S005,6,Closed headphones,1.625,1.1086778913041726,0.5543389456520863,0.21085336531489318,-0.25622460853070267
S005,6,Individualized HRTF,2.375,0.47871355387816905,0.23935677693908453,0.3756636139608854,-0.6209542717726623
S005,6,Real speakers,2.75,0.5,0.25,0.43933269383026263,-0.6020599913279624
S005,6,Non-individualized HRTF,2.375,0.25,0.125,0.3756636139608854,-0.9030899869919435
S006,1,Incongruous room,0,0,0,-Inf,-Inf
S006,1,Closed headphones,0,0,0,-Inf,-Inf
S006,1,Individualized HRTF,0.75,0.28867513459481287,0.14433756729740643,-0.12493873660829995,-0.8406206186877936
S006,1,Real speakers,1,0,0,0,-Inf
S006,1,Non-individualized HRTF,0.75,0.28867513459481287,0.14433756729740643,-0.12493873660829995,-0.8406206186877936
S006,2,Incongruous room,0.15625,0.11967838846954226,0.05983919423477113,-0.8061799739838872,-1.2230142631006247
S006,2,Closed headphones,0.3125,0.125,0.0625,-0.5051499783199059,-1.2041199826559248
S006,2,Individualized HRTF,2.25,0.5,0.25,0.3521825181113625,-0.6020599913279624
S006,2,Real speakers,1.875,0.25,0.125,0.27300127206373764,-0.9030899869919435
S006,2,Non-individualized HRTF,1.75,0.9574271077563381,0.47871355387816905,0.24303804868629444,-0.31992427610868107
S006,3,Incongruous room,0.1875,0.125,0.0625,-0.7269987279362623,-1.2041199826559248
S006,3,Closed headphones,0.56375,0.3129263757925603,0.15646318789628014,-0.24891344511398308,-0.805587825364064
